CONSUMO,PRECIO,INGRESO
197.7,6.8,284752
115.3,10.8,167713
62.4,20.4,89323
155.7,8.1,236223
96,11.8,147043
70.2,22.2,108875
232.7,5.3,360529
101.9,13.2,165737
118.8,10.8,195962
74.1,24.5,127205
63.4,25.6,110591
106.8,10.2,183599
86.2,24.3,146731
56.6,25.5,100867
37.5,30.1,52351
92.4,11.2,137007
78.2,20.4,111696
76.8,20.2,108498
72,22.6,103740
75.1,20.8,109226
49.4,30.2,70642
60.2,21.7,91299
59.4,22.9,90961
67.2,22.2,104182
48.8,32.6,75634
41.1,33.5,66794
56.9,27.1,69979
60.4,17.5,73892
35.8,30.1,44408
78.5,14.1,99645
